name,rank,trait,trait_value,trait_prob
huenia pacifica,species,thermal_tolerance_range,2.5-5C,1
nibilia antilocapra,species,thermal_tolerance_range,2.5-5C,1
rochinia gracilipes,species,thermal_tolerance_range,>15C,1
coryrhynchus riisei,species,thermal_tolerance_range,2.5-5C,1
coryrhynchus sidneyi,species,thermal_tolerance_range,2.5-5C,1
cyrtomaia platypes,species,thermal_tolerance_range,10-15C,1
thoe puella,species,thermal_tolerance_range,0-2.5C,1
crossotonotus spinipes,species,thermal_tolerance_range,2.5-5C,1
exopalicus maculatus,species,thermal_tolerance_range,2.5-5C,1
paliculus kyusyuensis,species,thermal_tolerance_range,2.5-5C,1
pseudopalicus oahuensis,species,thermal_tolerance_range,5-7.5C,1
pseudopalicus pictus,species,thermal_tolerance_range,0-2.5C,1
furtipodia petrosa,species,thermal_tolerance_range,2.5-5C,1
rhinolambrus contrarius,species,thermal_tolerance_range,5-7.5C,1
spinolambrus macrochelos,species,thermal_tolerance_range,5-7.5C,1
echinoecus pentagonus,species,thermal_tolerance_range,2.5-5C,1
chaceon chilensis,species,thermal_tolerance_range,5-7.5C,1
laleonectes nipponensis,species,thermal_tolerance_range,10-15C,1
tetralia cinctipes,species,thermal_tolerance_range,2.5-5C,1
tetralia rubridactyla,species,thermal_tolerance_range,2.5-5C,1
tetraloides heterodactylus,species,thermal_tolerance_range,2.5-5C,1
tetraloides nigrifrons,species,thermal_tolerance_range,2.5-5C,1
quadrella serenei,species,thermal_tolerance_range,2.5-5C,1
trapezia formosa,species,thermal_tolerance_range,2.5-5C,1
trapezia lutea,species,thermal_tolerance_range,2.5-5C,1
trapezia serenei,species,thermal_tolerance_range,2.5-5C,1
eucratopsis crassimanus,species,thermal_tolerance_range,0-2.5C,1
dyspanopeus texanus,species,thermal_tolerance_range,2.5-5C,1
cyclodius obscurus,species,thermal_tolerance_range,2.5-5C,1
tweedieia odhneri,species,thermal_tolerance_range,2.5-5C,1
alainodaeus rimatara,species,thermal_tolerance_range,2.5-5C,1
danielea noelensis,species,thermal_tolerance_range,7.5-10C,1
epistocavea mururoa,species,thermal_tolerance_range,2.5-5C,1
euxanthus huonii,species,thermal_tolerance_range,2.5-5C,1
paraxanthias notatus,species,thermal_tolerance_range,5-7.5C,1
lophozozymus bertonciniae,species,thermal_tolerance_range,2.5-5C,1
zozymodes pumilus,species,thermal_tolerance_range,2.5-5C,1
grapsus longitarsis,species,thermal_tolerance_range,2.5-5C,1
planes major,species,thermal_tolerance_range,7.5-10C,1
plagusia speciosa,species,thermal_tolerance_range,7.5-10C,1
ocypode pallidula,species,thermal_tolerance_range,2.5-5C,1
achelous ordwayi,species,thermal_tolerance_range,2.5-5C,1
achelous binoculus,species,thermal_tolerance_range,0-2.5C,1
megerlia truncata,species,thermal_tolerance_range,10-15C,1
argyrotheca cuneata,species,thermal_tolerance_range,10-15C,1
megathiris detruncata,species,thermal_tolerance_range,7.5-10C,1
platidia anomioides,species,thermal_tolerance_range,>15C,1
eucalathis ergastica,species,thermal_tolerance_range,10-15C,1
basiliola beecheri,species,thermal_tolerance_range,>15C,1
chlidonophora incerta,species,thermal_tolerance_range,2.5-5C,1
reptadeonella violacea,species,thermal_tolerance_range,7.5-10C,1
aetea truncata,species,thermal_tolerance_range,>15C,1
beania hirtissima,species,thermal_tolerance_range,2.5-5C,1
beania mirabilis,species,thermal_tolerance_range,7.5-10C,1
bugula neritina,species,thermal_tolerance_range,10-15C,1
parellisina curvirostris,species,thermal_tolerance_range,10-15C,1
caberea boryi,species,thermal_tolerance_range,7.5-10C,1
scrupocellaria scrupea,species,thermal_tolerance_range,7.5-10C,1
cellaria salicornioides,species,thermal_tolerance_range,7.5-10C,1
chorizopora brongniartii,species,thermal_tolerance_range,7.5-10C,1
puellina radiata,species,thermal_tolerance_range,7.5-10C,1
synnotum aegyptiacum,species,thermal_tolerance_range,10-15C,1
hippopodina feegeensis,species,thermal_tolerance_range,2.5-5C,1
hippothoa divaricata,species,thermal_tolerance_range,>15C,1
fenestrulina malusii,species,thermal_tolerance_range,10-15C,1
calpensia nobilis,species,thermal_tolerance_range,2.5-5C,1
mollia patellaria,species,thermal_tolerance_range,2.5-5C,1
exechonella antillea,species,thermal_tolerance_range,2.5-5C,1
savignyella lafontii,species,thermal_tolerance_range,7.5-10C,1
arthropoma cecilii,species,thermal_tolerance_range,10-15C,1
escharina dutertrei,species,thermal_tolerance_range,0-2.5C,1
escharina vulgaris,species,thermal_tolerance_range,5-7.5C,1
schizobrachiella sanguinea,species,thermal_tolerance_range,5-7.5C,1
schizoporella errata,species,thermal_tolerance_range,>15C,1
setosella vulnerata,species,thermal_tolerance_range,10-15C,1
amathia distans,species,thermal_tolerance_range,7.5-10C,1
mecynoecia delicatula,species,thermal_tolerance_range,0-2.5C,1
patinella radiata,species,thermal_tolerance_range,10-15C,1
crepidacantha poissonii,species,thermal_tolerance_range,2.5-5C,1
celleporaria albirostris,species,thermal_tolerance_range,2.5-5C,1
jellyella tuberculata,species,thermal_tolerance_range,10-15C,1
crassimarginatella tuberosa,species,thermal_tolerance_range,2.5-5C,1
parellisina latirostris,species,thermal_tolerance_range,2.5-5C,1
nellia tenella,species,thermal_tolerance_range,2.5-5C,1
cupuladria surinamensis,species,thermal_tolerance_range,2.5-5C,1
vibracellina laxibasis,species,thermal_tolerance_range,2.5-5C,1
floridina antiqua,species,thermal_tolerance_range,2.5-5C,1
labioporella granulosa,species,thermal_tolerance_range,2.5-5C,1
smittipora levinseni,species,thermal_tolerance_range,2.5-5C,1
steginoporella magnilabris,species,thermal_tolerance_range,2.5-5C,1
trypostega striatula,species,thermal_tolerance_range,2.5-5C,1
parasmittina munita,species,thermal_tolerance_range,0-2.5C,1
gemelliporidra aculeata,species,thermal_tolerance_range,0-2.5C,1
gemelliporidra typica,species,thermal_tolerance_range,2.5-5C,1
schizoporella floridana,species,thermal_tolerance_range,2.5-5C,1
schizoporella pungens,species,thermal_tolerance_range,2.5-5C,1
stylopoma spongites,species,thermal_tolerance_range,2.5-5C,1
tetraplaria dichotoma,species,thermal_tolerance_range,2.5-5C,1
hippaliosina rostrigera,species,thermal_tolerance_range,2.5-5C,1
lagenicella marginata,species,thermal_tolerance_range,2.5-5C,1
petraliella bisinuata,species,thermal_tolerance_range,2.5-5C,1
mamillopora cupula,species,thermal_tolerance_range,2.5-5C,1
crepidacantha longiseta,species,thermal_tolerance_range,2.5-5C,1
gemelliporina glabra,species,thermal_tolerance_range,2.5-5C,1
trematooecia aviculifera,species,thermal_tolerance_range,0-2.5C,1
hippotrema janthina,species,thermal_tolerance_range,2.5-5C,1
reteporellina marsupiata,species,thermal_tolerance_range,2.5-5C,1
rhynchozoon verruculatum,species,thermal_tolerance_range,2.5-5C,1
crisulipora orientalis,species,thermal_tolerance_range,2.5-5C,1
reteporellina evelinae,species,thermal_tolerance_range,0-2.5C,1
diplosolen obelium,species,thermal_tolerance_range,10-15C,1
poricella mucronata,species,thermal_tolerance_range,2.5-5C,1
marcusadorea tubulosa,species,thermal_tolerance_range,2.5-5C,1
branchiostoma caribaeum,species,thermal_tolerance_range,2.5-5C,1
asymmetron lucayanum,species,thermal_tolerance_range,5-7.5C,1
branchiostoma floridae,species,thermal_tolerance_range,2.5-5C,1
branchiostoma longirostrum,species,thermal_tolerance_range,2.5-5C,1
cerianthus membranaceus,species,thermal_tolerance_range,2.5-5C,1
eukrohnia bathypelagica,species,thermal_tolerance_range,>15C,1
eukrohnia fowleri,species,thermal_tolerance_range,>15C,1
krohnitta subtilis,species,thermal_tolerance_range,7.5-10C,1
pterosagitta draco,species,thermal_tolerance_range,7.5-10C,1
caecosagitta macrocephala,species,thermal_tolerance_range,>15C,1
ferosagitta hispida,species,thermal_tolerance_range,10-15C,1
flaccisagitta enflata,species,thermal_tolerance_range,10-15C,1
flaccisagitta hexaptera,species,thermal_tolerance_range,5-7.5C,1
pseudosagitta maxima,species,thermal_tolerance_range,10-15C,1
sagitta bipunctata,species,thermal_tolerance_range,7.5-10C,1
serratosagitta serratodentata,species,thermal_tolerance_range,>15C,1
ferosagitta ferox,species,thermal_tolerance_range,5-7.5C,1
ferosagitta robusta,species,thermal_tolerance_range,5-7.5C,1
parasagitta tenuis,species,thermal_tolerance_range,10-15C,1
serratosagitta pacifica,species,thermal_tolerance_range,10-15C,1
aidanosagitta neglecta,species,thermal_tolerance_range,2.5-5C,1
aidanosagitta regularis,species,thermal_tolerance_range,5-7.5C,1
aetideopsis multiserrata,species,thermal_tolerance_range,>15C,1
aetideus acutus,species,thermal_tolerance_range,7.5-10C,1
aetideus giesbrechti,species,thermal_tolerance_range,5-7.5C,1
chirundina streetsii,species,thermal_tolerance_range,2.5-5C,1
euchirella amoena,species,thermal_tolerance_range,2.5-5C,1
euchirella bitumida,species,thermal_tolerance_range,2.5-5C,1
euchirella curticauda,species,thermal_tolerance_range,5-7.5C,1
euchirella maxima,species,thermal_tolerance_range,2.5-5C,1
euchirella pulchra,species,thermal_tolerance_range,2.5-5C,1
euchirella rostrata,species,thermal_tolerance_range,5-7.5C,1
euchirella truncata,species,thermal_tolerance_range,5-7.5C,1
gaetanus armiger,species,thermal_tolerance_range,2.5-5C,1
gaetanus miles,species,thermal_tolerance_range,5-7.5C,1
gaetanus minor,species,thermal_tolerance_range,10-15C,1
gaetanus pileatus,species,thermal_tolerance_range,2.5-5C,1
undeuchaeta major,species,thermal_tolerance_range,5-7.5C,1
undeuchaeta plumosa,species,thermal_tolerance_range,10-15C,1
augaptilus longicaudatus,species,thermal_tolerance_range,2.5-5C,1
euaugaptilus filigerus,species,thermal_tolerance_range,5-7.5C,1
euaugaptilus gracilis,species,thermal_tolerance_range,0-2.5C,1
euaugaptilus hecticus,species,thermal_tolerance_range,5-7.5C,1
haloptilus acutifrons,species,thermal_tolerance_range,>15C,1
haloptilus fertilis,species,thermal_tolerance_range,2.5-5C,1
haloptilus longicornis,species,thermal_tolerance_range,5-7.5C,1
haloptilus mucronatus,species,thermal_tolerance_range,5-7.5C,1
haloptilus ornatus,species,thermal_tolerance_range,2.5-5C,1
haloptilus spiniceps,species,thermal_tolerance_range,5-7.5C,1
nannocalanus minor,species,thermal_tolerance_range,10-15C,1
neocalanus gracilis,species,thermal_tolerance_range,10-15C,1
neocalanus robustior,species,thermal_tolerance_range,5-7.5C,1
undinula vulgaris,species,thermal_tolerance_range,5-7.5C,1
candacia curta,species,thermal_tolerance_range,2.5-5C,1
candacia longimana,species,thermal_tolerance_range,2.5-5C,1
candacia pachydactyla,species,thermal_tolerance_range,5-7.5C,1
candacia paenelongimana,species,thermal_tolerance_range,2.5-5C,1
candacia varicans,species,thermal_tolerance_range,2.5-5C,1
centropages bradyi,species,thermal_tolerance_range,2.5-5C,1
centropages violaceus,species,thermal_tolerance_range,2.5-5C,1
clausocalanus arcuicornis,species,thermal_tolerance_range,7.5-10C,1
clausocalanus furcatus,species,thermal_tolerance_range,7.5-10C,1
clausocalanus paululus,species,thermal_tolerance_range,10-15C,1
microcalanus pygmaeus,species,thermal_tolerance_range,0-2.5C,1
rhincalanus cornutus,species,thermal_tolerance_range,5-7.5C,1
subeucalanus monachus,species,thermal_tolerance_range,2.5-5C,1
subeucalanus pileatus,species,thermal_tolerance_range,5-7.5C,1
euchaeta acuta,species,thermal_tolerance_range,5-7.5C,1
euchaeta media,species,thermal_tolerance_range,5-7.5C,1
euchaeta spinosa,species,thermal_tolerance_range,2.5-5C,1
paraeuchaeta barbata,species,thermal_tolerance_range,5-7.5C,1
paraeuchaeta gracilis,species,thermal_tolerance_range,2.5-5C,1
paraeuchaeta pseudotonsa,species,thermal_tolerance_range,2.5-5C,1
heterorhabdus abyssalis,species,thermal_tolerance_range,7.5-10C,1
heterorhabdus papilliger,species,thermal_tolerance_range,7.5-10C,1
heterorhabdus spinifrons,species,thermal_tolerance_range,5-7.5C,1
heterostylites longicornis,species,thermal_tolerance_range,5-7.5C,1
lucicutia clausi,species,thermal_tolerance_range,7.5-10C,1
lucicutia flavicornis,species,thermal_tolerance_range,7.5-10C,1
lucicutia longiserrata,species,thermal_tolerance_range,2.5-5C,1
lucicutia magna,species,thermal_tolerance_range,10-15C,1
mecynocera clausi,species,thermal_tolerance_range,5-7.5C,1
megacalanus princeps,species,thermal_tolerance_range,2.5-5C,1
metridia brevicauda,species,thermal_tolerance_range,2.5-5C,1
metridia princeps,species,thermal_tolerance_range,2.5-5C,1
pleuromamma abdominalis,species,thermal_tolerance_range,10-15C,1
pleuromamma gracilis,species,thermal_tolerance_range,10-15C,1
pleuromamma xiphias,species,thermal_tolerance_range,7.5-10C,1
acrocalanus longicornis,species,thermal_tolerance_range,7.5-10C,1
calocalanus contractus,species,thermal_tolerance_range,2.5-5C,1
calocalanus pavo,species,thermal_tolerance_range,5-7.5C,1
calocalanus pavoninus,species,thermal_tolerance_range,2.5-5C,1
calocalanus styliremis,species,thermal_tolerance_range,2.5-5C,1
paracalanus nanus,species,thermal_tolerance_range,2.5-5C,1
phaenna spinifera,species,thermal_tolerance_range,5-7.5C,1
xanthocalanus agilis,species,thermal_tolerance_range,2.5-5C,1
calanopia americana,species,thermal_tolerance_range,2.5-5C,1
labidocera acutifrons,species,thermal_tolerance_range,2.5-5C,1
labidocera aestiva,species,thermal_tolerance_range,2.5-5C,1
labidocera nerii,species,thermal_tolerance_range,2.5-5C,1
pontella atlantica,species,thermal_tolerance_range,2.5-5C,1
pontella securifer,species,thermal_tolerance_range,2.5-5C,1
pontellopsis villosa,species,thermal_tolerance_range,2.5-5C,1
lophothrix frontalis,species,thermal_tolerance_range,2.5-5C,1
lophothrix latipes,species,thermal_tolerance_range,2.5-5C,1
scaphocalanus brevirostris,species,thermal_tolerance_range,0-2.5C,1
scaphocalanus curtus,species,thermal_tolerance_range,10-15C,1
scaphocalanus echinatus,species,thermal_tolerance_range,>15C,1
scaphocalanus magnus,species,thermal_tolerance_range,0-2.5C,1
scolecithricella dentata,species,thermal_tolerance_range,2.5-5C,1
scolecithricella vittata,species,thermal_tolerance_range,>15C,1
scolecithrix bradyi,species,thermal_tolerance_range,5-7.5C,1
scolecithrix danae,species,thermal_tolerance_range,7.5-10C,1
scottocalanus helenae,species,thermal_tolerance_range,5-7.5C,1
scottocalanus persecans,species,thermal_tolerance_range,2.5-5C,1
scottocalanus securifrons,species,thermal_tolerance_range,5-7.5C,1
mimocalanus cultrifer,species,thermal_tolerance_range,2.5-5C,1
spinocalanus abyssalis,species,thermal_tolerance_range,0-2.5C,1
spinocalanus horridus,species,thermal_tolerance_range,0-2.5C,1
spinocalanus longicornis,species,thermal_tolerance_range,0-2.5C,1
spinocalanus magnus,species,thermal_tolerance_range,>15C,1
spinocalanus spinosus,species,thermal_tolerance_range,5-7.5C,1
temora stylifera,species,thermal_tolerance_range,2.5-5C,1
temoropia mayumbaensis,species,thermal_tolerance_range,2.5-5C,1
oithona robusta,species,thermal_tolerance_range,7.5-10C,1
oithona setigera,species,thermal_tolerance_range,7.5-10C,1
aegisthus mucronatus,species,thermal_tolerance_range,>15C,1
miracia efferata,species,thermal_tolerance_range,5-7.5C,1
tisbe furcata,species,thermal_tolerance_range,>15C,1
corycaeus clausi,species,thermal_tolerance_range,2.5-5C,1
corycaeus speciosus,species,thermal_tolerance_range,7.5-10C,1
farranula carinata,species,thermal_tolerance_range,2.5-5C,1
farranula gracilis,species,thermal_tolerance_range,2.5-5C,1
farranula rostrata,species,thermal_tolerance_range,2.5-5C,1
lubbockia aculeata,species,thermal_tolerance_range,2.5-5C,1
lubbockia squillimana,species,thermal_tolerance_range,5-7.5C,1
oncaea curta,species,thermal_tolerance_range,2.5-5C,1
oncaea media,species,thermal_tolerance_range,10-15C,1
oncaea mediterranea,species,thermal_tolerance_range,10-15C,1
oncaea notopus,species,thermal_tolerance_range,>15C,1
oncaea ornata,species,thermal_tolerance_range,2.5-5C,1
pachos punctatum,species,thermal_tolerance_range,5-7.5C,1
copilia mirabilis,species,thermal_tolerance_range,5-7.5C,1
copilia quadrata,species,thermal_tolerance_range,5-7.5C,1
copilia vitrea,species,thermal_tolerance_range,5-7.5C,1
sapphirina angusta,species,thermal_tolerance_range,5-7.5C,1
sapphirina auronitens,species,thermal_tolerance_range,2.5-5C,1
sapphirina bicuspidata,species,thermal_tolerance_range,0-2.5C,1
sapphirina gastrica,species,thermal_tolerance_range,5-7.5C,1
sapphirina gemma,species,thermal_tolerance_range,5-7.5C,1
sapphirina metallina,species,thermal_tolerance_range,2.5-5C,1
sapphirina nigromaculata,species,thermal_tolerance_range,2.5-5C,1
sapphirina opalina,species,thermal_tolerance_range,5-7.5C,1
sapphirina ovatolanceolata,species,thermal_tolerance_range,2.5-5C,1
sapphirina scarlata,species,thermal_tolerance_range,5-7.5C,1
sapphirina stellata,species,thermal_tolerance_range,2.5-5C,1
euchaeta paraconcinna,species,thermal_tolerance_range,2.5-5C,1
gaetanus kruppii,species,thermal_tolerance_range,2.5-5C,1
gaetanus tenuispinus,species,thermal_tolerance_range,10-15C,1
nullosetigera bidentata,species,thermal_tolerance_range,2.5-5C,1
pseudoamallothrix ovata,species,thermal_tolerance_range,2.5-5C,1
calocalanus gracilis,species,thermal_tolerance_range,2.5-5C,1
anomalocera ornata,species,thermal_tolerance_range,2.5-5C,1
bradyidius arnoldi,species,thermal_tolerance_range,2.5-5C,1
centropages velificatus,species,thermal_tolerance_range,2.5-5C,1
dioithona oculata,species,thermal_tolerance_range,2.5-5C,1
euchirella pseudotruncata,species,thermal_tolerance_range,2.5-5C,1
euchirella splendens,species,thermal_tolerance_range,2.5-5C,1
labidocera mirabilis,species,thermal_tolerance_range,2.5-5C,1
labidocera scotti,species,thermal_tolerance_range,2.5-5C,1
paracalanus quasimodo,species,thermal_tolerance_range,2.5-5C,1
pontella mimocerami,species,thermal_tolerance_range,2.5-5C,1
pontellina platychela,species,thermal_tolerance_range,2.5-5C,1
pseudodiaptomus pelagicus,species,thermal_tolerance_range,2.5-5C,1
pareucalanus sewelli,species,thermal_tolerance_range,2.5-5C,1
cosmocalanus darwinii,species,thermal_tolerance_range,7.5-10C,1
nullosetigera helgae,species,thermal_tolerance_range,5-7.5C,1
beroe forskalii,species,thermal_tolerance_range,>15C,1
pleurobrachia pileus,species,thermal_tolerance_range,7.5-10C,1
mnemiopsis leidyi,species,thermal_tolerance_range,10-15C,1
ocyropsis crystallina,species,thermal_tolerance_range,2.5-5C,1
thalassocalyce inconstans,species,thermal_tolerance_range,10-15C,1
carybdea marsupialis,species,thermal_tolerance_range,10-15C,1
chiropsalmus quadrumanus,species,thermal_tolerance_range,5-7.5C,1
alatina alata,species,thermal_tolerance_range,5-7.5C,1
iphinoe maeotica,species,thermal_tolerance_range,0-2.5C,1
cyclaspis varians,species,thermal_tolerance_range,10-15C,1
cyclaspis bacescui,species,thermal_tolerance_range,2.5-5C,1
cyclaspis pustulata,species,thermal_tolerance_range,2.5-5C,1
vaunthompsonia minor,species,thermal_tolerance_range,2.5-5C,1
oxyurostylis lecroyae,species,thermal_tolerance_range,2.5-5C,1
campylaspis heardi,species,thermal_tolerance_range,2.5-5C,1
cubanocuma gutzui,species,thermal_tolerance_range,2.5-5C,1
arbacia lixula,species,thermal_tolerance_range,2.5-5C,1
podocidaris sculpta,species,thermal_tolerance_range,10-15C,1
cidaris cidaris,species,thermal_tolerance_range,10-15C,1
stylocidaris affinis,species,thermal_tolerance_range,2.5-5C,1
echinocyamus grandiporus,species,thermal_tolerance_range,0-2.5C,1
echinus melo,species,thermal_tolerance_range,0-2.5C,1
paracentrotus lividus,species,thermal_tolerance_range,7.5-10C,1
psammechinus microtuberculatus,species,thermal_tolerance_range,2.5-5C,1
aspidodiadema jacobyi,species,thermal_tolerance_range,0-2.5C,1
plesiodiadema antillarum,species,thermal_tolerance_range,5-7.5C,1
centrostephanus longispinus,species,thermal_tolerance_range,10-15C,1
diadema antillarum,species,thermal_tolerance_range,2.5-5C,1
caenopedina cubensis,species,thermal_tolerance_range,10-15C,1
salenocidaris varispina,species,thermal_tolerance_range,>15C,1
brissopsis atlantica,species,thermal_tolerance_range,2.5-5C,1
brissus unicolor,species,thermal_tolerance_range,7.5-10C,1
echinocardium mediterraneum,species,thermal_tolerance_range,2.5-5C,1
genocidaris maculata,species,thermal_tolerance_range,7.5-10C,1
sphaerechinus granularis,species,thermal_tolerance_range,5-7.5C,1
arbacia punctulata,species,thermal_tolerance_range,2.5-5C,1
moira atropos,species,thermal_tolerance_range,5-7.5C,1
stomopneustes variolaris,species,thermal_tolerance_range,5-7.5C,1
echinoneus cyclostomus,species,thermal_tolerance_range,5-7.5C,1
clypeaster reticulatus,species,thermal_tolerance_range,2.5-5C,1
diadema savignyi,species,thermal_tolerance_range,5-7.5C,1
echinothrix calamaris,species,thermal_tolerance_range,2.5-5C,1
echinothrix diadema,species,thermal_tolerance_range,2.5-5C,1
echinometra lucunter,species,thermal_tolerance_range,2.5-5C,1
echinometra mathaei,species,thermal_tolerance_range,2.5-5C,1
echinostrephus molaris,species,thermal_tolerance_range,2.5-5C,1
heterocentrotus trigonarius,species,thermal_tolerance_range,2.5-5C,1
brissus latecarinatus,species,thermal_tolerance_range,2.5-5C,1
pseudoboletia maculata,species,thermal_tolerance_range,2.5-5C,1
echinocyamus scaber,species,thermal_tolerance_range,2.5-5C,1
meoma ventricosa,species,thermal_tolerance_range,2.5-5C,1
lytechinus variegatus,species,thermal_tolerance_range,2.5-5C,1
clypeaster rosaceus,species,thermal_tolerance_range,2.5-5C,1
eucidaris tribuloides,species,thermal_tolerance_range,2.5-5C,1
cidaris abyssicola,species,thermal_tolerance_range,0-2.5C,1
cidaris rugosa,species,thermal_tolerance_range,0-2.5C,1
stylocidaris lineata,species,thermal_tolerance_range,0-2.5C,1
lytechinus euerces,species,thermal_tolerance_range,2.5-5C,1
lytechinus williamsi,species,thermal_tolerance_range,0-2.5C,1
tripneustes ventricosus,species,thermal_tolerance_range,0-2.5C,1
echinometra viridis,species,thermal_tolerance_range,0-2.5C,1
clypeaster chesheri,species,thermal_tolerance_range,2.5-5C,1
clypeaster euclastus,species,thermal_tolerance_range,0-2.5C,1
clypeaster prostratus,species,thermal_tolerance_range,2.5-5C,1
clypeaster ravenelii,species,thermal_tolerance_range,2.5-5C,1
clypeaster subdepressus,species,thermal_tolerance_range,2.5-5C,1
encope michelini,species,thermal_tolerance_range,2.5-5C,1
leodia sexiesperforata,species,thermal_tolerance_range,2.5-5C,1
echinolampas depressa,species,thermal_tolerance_range,2.5-5C,1
brissopsis elongata,species,thermal_tolerance_range,2.5-5C,1
plagiobrissus grandis,species,thermal_tolerance_range,2.5-5C,1
agassizia excentrica,species,thermal_tolerance_range,0-2.5C,1
schizaster orbignyanus,species,thermal_tolerance_range,2.5-5C,1
schizaster floridiensis,species,thermal_tolerance_range,2.5-5C,1
coelopleurus floridanus,species,thermal_tolerance_range,0-2.5C,1
diadema paucispinum,species,thermal_tolerance_range,2.5-5C,1
echinostrephus aciculatus,species,thermal_tolerance_range,2.5-5C,1
gracilechinus acutus,species,thermal_tolerance_range,10-15C,1
schizaster doederleini,species,thermal_tolerance_range,2.5-5C,1
affinetrina planciana,species,thermal_tolerance_range,2.5-5C,1
articularia sagra,species,thermal_tolerance_range,2.5-5C,1
articulina pacifica,species,thermal_tolerance_range,2.5-5C,1
sigmoihauerina bradyi,species,thermal_tolerance_range,2.5-5C,1
miliolinella subrotunda,species,thermal_tolerance_range,2.5-5C,1
quinqueloculina arctica,species,thermal_tolerance_range,0-2.5C,1
quinqueloculina bosciana,species,thermal_tolerance_range,2.5-5C,1
quinqueloculina lamarckiana,species,thermal_tolerance_range,>15C,1
quinqueloculina polygona,species,thermal_tolerance_range,2.5-5C,1
quinqueloculina seminula,species,thermal_tolerance_range,>15C,1
spiroloculina excavata,species,thermal_tolerance_range,7.5-10C,1
triloculina trigonula,species,thermal_tolerance_range,>15C,1
peneroplis pertusus,species,thermal_tolerance_range,2.5-5C,1
ammonia beccarii,species,thermal_tolerance_range,5-7.5C,1
amphistegina lessonii,species,thermal_tolerance_range,2.5-5C,1
cassidulina teretis,species,thermal_tolerance_range,2.5-5C,1
rosalina floridana,species,thermal_tolerance_range,2.5-5C,1
elphidium articulatum,species,thermal_tolerance_range,10-15C,1
elphidium bartletti,species,thermal_tolerance_range,2.5-5C,1
homotrema rubra,species,thermal_tolerance_range,2.5-5C,1
planorbulina mediterranensis,species,thermal_tolerance_range,2.5-5C,1
neoconorbina terquemi,species,thermal_tolerance_range,2.5-5C,1
labrospira crassimargo,species,thermal_tolerance_range,0-2.5C,1
hyperammina elongata,species,thermal_tolerance_range,2.5-5C,1
reophax scorpiurus,species,thermal_tolerance_range,>15C,1
recurvoides turbinatus,species,thermal_tolerance_range,2.5-5C,1
lagenammina difflugiformis,species,thermal_tolerance_range,>15C,1
psammosphaera fusca,species,thermal_tolerance_range,2.5-5C,1
saccammina sphaerica,species,thermal_tolerance_range,0-2.5C,1
thurammina papillata,species,thermal_tolerance_range,0-2.5C,1
triloculina trihedra,species,thermal_tolerance_range,10-15C,1
hanzawaia strattoni,species,thermal_tolerance_range,2.5-5C,1
dentalina mutabilis,species,thermal_tolerance_range,>15C,1
laevidentalina baggi,species,thermal_tolerance_range,2.5-5C,1
haplognathia rosea,species,thermal_tolerance_range,>15C,1
haplognathia ruberrima,species,thermal_tolerance_range,>15C,1
turbanella cornuta,species,thermal_tolerance_range,10-15C,1
actinia cari,species,thermal_tolerance_range,5-7.5C,1
anthopleura ballii,species,thermal_tolerance_range,7.5-10C,1
anthopleura thallia,species,thermal_tolerance_range,>15C,1
condylactis aurantiaca,species,thermal_tolerance_range,5-7.5C,1
cribrinopsis crassa,species,thermal_tolerance_range,0-2.5C,1
aiptasia mutabilis,species,thermal_tolerance_range,7.5-10C,1
alicia mirabilis,species,thermal_tolerance_range,10-15C,1
scolanthus callimorphus,species,thermal_tolerance_range,7.5-10C,1
amphianthus dohrnii,species,thermal_tolerance_range,0-2.5C,1
calliactis parasitica,species,thermal_tolerance_range,7.5-10C,1
telmatactis forskalii,species,thermal_tolerance_range,2.5-5C,1
triactis producta,species,thermal_tolerance_range,2.5-5C,1
anemonia sulcata,species,thermal_tolerance_range,5-7.5C,1
adamsia palliata,species,thermal_tolerance_range,7.5-10C,1
euapta lappa,species,thermal_tolerance_range,0-2.5C,1
bathyplotes natans,species,thermal_tolerance_range,>15C,1
ocnus glacialis,species,thermal_tolerance_range,2.5-5C,1
thyone fusus,species,thermal_tolerance_range,0-2.5C,1
benthodytes typica,species,thermal_tolerance_range,2.5-5C,1
molpadia cubana,species,thermal_tolerance_range,2.5-5C,1
stichopus chloronotus,species,thermal_tolerance_range,2.5-5C,1
parastichopus regalis,species,thermal_tolerance_range,0-2.5C,1
sclerodactyla briareus,species,thermal_tolerance_range,2.5-5C,1
thyonella gemmata,species,thermal_tolerance_range,5-7.5C,1
actinopyga mauritiana,species,thermal_tolerance_range,2.5-5C,1
bohadschia vitiensis,species,thermal_tolerance_range,2.5-5C,1
labidodemas semperianum,species,thermal_tolerance_range,2.5-5C,1
stichopus monotuberculatus,species,thermal_tolerance_range,5-7.5C,1
polyplectana kefersteinii,species,thermal_tolerance_range,2.5-5C,1
thyone pseudofusus,species,thermal_tolerance_range,2.5-5C,1
molpadiodemas atlanticus,species,thermal_tolerance_range,2.5-5C,1
actinopyga palauensis,species,thermal_tolerance_range,2.5-5C,1
astichopus multifidus,species,thermal_tolerance_range,0-2.5C,1
benthodytes sanguinolenta,species,thermal_tolerance_range,7.5-10C,1
isostichopus badionotus,species,thermal_tolerance_range,2.5-5C,1
thyonella pervicax,species,thermal_tolerance_range,2.5-5C,1
euthyonidiella destichada,species,thermal_tolerance_range,0-2.5C,1
